City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
280,Naron,ES,2022-03-19 03:33:47,43.5167,-8.1528,53.04,80,8,5.46
281,Nishihara,JP,2022-03-19 03:33:48,26.1842,127.7558,71.65,70,75,12.66
282,Santa Barbara,US,2022-03-19 03:33:49,34.7333,-120.0343,58.82,81,0,5.75
283,Zambezi,ZM,2022-03-19 03:33:50,-13.5432,23.1047,62.55,98,76,3.76
284,Alice Springs,AU,2022-03-19 03:31:13,-23.7,133.8833,96.35,19,20,10.36
285,Nikolskoye,RU,2022-03-19 03:33:51,59.7035,30.7861,35.8,88,60,3.06
286,Gao,ML,2022-03-19 03:33:53,16.6362,1.637,78.71,13,67,5.28
287,Liverpool,GB,2022-03-19 03:31:07,53.4106,-2.9779,46.71,86,3,10.36
288,Waddan,LY,2022-03-19 03:33:54,29.1614,16.139,64.29,18,57,20.54
289,Soloneshnoye,RU,2022-03-19 03:33:55,51.6544,84.3197,18.82,89,76,0.54
290,Port Blair,IN,2022-03-19 03:33:56,11.6667,92.75,82.2,71,99,11.18
291,Deputatskiy,RU,2022-03-19 03:33:57,69.3,139.9,0.0,88,16,2.19
292,Elmina,GH,2022-03-19 03:33:58,5.0898,-1.348,80.06,88,92,9.64
